代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	
002037	久联发展	-0.29	16.97	-0.05	16.97	16.98	61159	637	0.05	          1.87	
002038	双鹭药业	2.91	25.83	0.73	25.82	25.83	78582	712	0.11	          1.39	
002039	黔源电力	3.90	17.04	0.64	17.04	17.05	81650	703	-0.05	          2.67	
002040	南 京 港	2.02	13.64	0.27	13.63	13.64	74658	2577	-0.21	          3.04	
002041	登海种业	-1.05	14.11	-0.15	14.11	14.12	37261	436	0.07	          0.43	
002042	华孚色纺	0.47	8.62	0.04	8.61	8.62	46949	1290	0.34	          0.56	
002043	兔 宝 宝	-0.16	12.22	-0.02	12.21	12.22	472352	9860	0.16	         10.06	
002044	美年健康	--  	30.87	--  	--  	--  	0	0	--  	          0.00	
002045	国光电器	0.15	13.20	0.02	13.20	13.21	132236	1338	0.00	          3.18	
002046	轴研科技	0.65	9.24	0.06	9.22	9.24	34876	489	0.21	          1.02	
002047	宝鹰股份	2.38	9.90	0.23	9.90	9.91	84670	1702	0.10	          1.24	
002048	宁波华翔	--  	17.40	--  	--  	--  	0	0	--  	          0.00	
002049	同方国芯	--  	60.15	--  	--  	--  	0	0	--  	          0.00	
002050	三花股份	-0.56	7.16	-0.04	7.15	7.16	112226	1307	-0.13	          0.74	
002051	中工国际	2.01	23.81	0.47	23.81	23.82	59159	1039	0.00	          0.77	
002052	同洲电子	--  	10.03	--  	--  	--  	0	0	--  	          0.00	
002053	云南盐化	--  	25.84	--  	--  	--  	0	0	--  	          0.00	
002054	德美化工	-0.19	10.44	-0.02	10.44	10.45	44400	284	0.09	          1.41	
002055	得润电子	5.38	28.00	1.43	28.00	28.01	212604	3755	0.03	          5.28	
002056	横店东磁	0.43	20.79	0.09	20.77	20.79	44473	814	0.19	          1.08	
002057	中钢天源	1.61	11.96	0.19	11.95	11.96	55437	1240	0.16	          2.78	
002058	威 尔 泰	-0.36	19.33	-0.07	19.32	19.33	24063	533	-0.36	          1.68	
002059	云南旅游	-0.24	8.18	-0.02	8.18	8.19	59180	330	0.00	          1.13	
002060	粤 水 电	1.05	6.76	0.07	6.75	6.76	78917	1373	0.14	          1.31	
002061	江山化工	-0.30	6.60	-0.02	6.59	6.60	94956	1717	0.45	          2.32	
002062	宏润建设	-0.40	7.49	-0.03	7.49	7.50	75941	499	0.00	          1.13	
002063	远光软件	1.41	15.10	0.21	15.10	15.11	162217	6303	0.13	          3.12	
002064	华峰氨纶	0.21	4.83	0.01	4.82	4.83	134822	1981	0.00	          0.89	
002065	东华软件	--  	25.10	--  	--  	--  	0	0	--  	          0.00	
002066	瑞泰科技	-1.30	15.97	-0.21	15.97	15.98	156673	2210	0.12	          6.78	
002067	景兴纸业	3.11	6.97	0.21	6.96	6.97	719078	17726	0.00	          7.49	
002068	黑猫股份	2.47	6.22	0.15	6.21	6.22	96730	1049	-0.16	          1.59	
002069	獐 子 岛	-0.11	8.91	-0.01	8.91	8.92	49586	665	-0.33	          0.73	
002070	众和股份	--  	16.86	--  	--  	--  	0	0	--  	          0.00	
002071	长城影视	--  	13.06	--  	--  	--  	0	0	--  	          0.00	
002072	凯瑞德	1.48	21.96	0.32	21.96	21.97	81137	2690	0.73	          4.61	
002073	软控股份	0.89	12.41	0.11	12.41	12.42	88553	854	0.16	          1.42	
002074	国轩高科	5.99	30.45	1.72	30.44	30.45	199704	1751	0.00	          9.01	
002075	沙钢股份	1.28	11.05	0.14	11.05	11.06	1690840	22304	0.54	          7.66	
002076	雪 莱 特	-1.08	12.85	-0.14	12.85	12.86	67682	1591	0.07	          3.72	
002077	大港股份	-1.01	14.73	-0.15	14.73	14.74	44488	762	0.20	          1.77	
002078	太阳纸业	-0.69	4.32	-0.03	4.31	4.32	144638	1691	0.00	          0.73	
002079	苏州固锝	0.47	8.50	0.04	8.49	8.50	525429	6807	-0.35	          7.24	
002080	中材科技	--  	21.33	--  	--  	--  	0	0	--  	          0.00	
002081	金 螳 螂	-1.79	13.70	-0.25	13.70	13.71	261422	2749	0.07	          1.56	
002082	栋梁新材	--  	10.21	--  	--  	--  	0	0	--  	          0.00	
002083	孚日股份	0.33	6.15	0.02	6.15	6.16	81286	771	-0.16	          0.96	
002084	海鸥卫浴	0.34	8.80	0.03	8.79	8.80	50747	1278	0.11	          1.25	
002085	万丰奥威	0.89	27.12	0.24	27.10	27.12	34749	239	0.07	          0.42	
002086	东方海洋	-3.34	19.39	-0.67	19.39	19.40	142682	2570	0.10	          6.00	
002087	新野纺织	0.46	6.54	0.03	6.53	6.54	90721	830	0.00	          1.75	
002088	鲁阳节能	0.31	12.91	0.04	12.89	12.91	20239	142	0.07	          1.52	
002089	新 海 宜	--  	16.88	--  	--  	--  	0	0	--  	          0.00	
002090	金智科技	0.00	29.02	0.00	29.01	29.02	26825	386	0.00	          1.40	
002091	江苏国泰	-0.58	17.02	-0.10	17.02	17.03	151919	2393	-0.05	          4.35	
002092	中泰化学	0.46	6.62	0.03	6.61	6.62	234402	4484	0.30	          1.89	
002093	国脉科技	0.59	10.30	0.06	10.30	10.31	180339	3686	0.19	          2.11	
002094	青岛金王	1.76	24.87	0.43	24.87	24.88	48575	343	0.04	          1.51	
002095	生 意 宝	0.46	61.81	0.28	61.80	61.81	66014	729	0.01	          2.63	
002096	南岭民爆	0.51	17.70	0.09	17.69	17.70	13307	198	0.00	          0.36	
002097	山河智能	1.06	7.60	0.08	7.60	7.61	139147	1900	0.00	          2.21	
002098	浔兴股份	-0.71	12.55	-0.09	12.52	12.55	82265	1187	0.56	          2.65	
